symbol,timeframe,side,setup,status,signal_ts,signal_time_utc,age_bars,score,grade,last_price,ema200,atr14,trigger,stop,target_1r,target_2r,target_3r,structure_target,structure_target_r,risk_pct,quote_volume_24h,touch_count,cross_count,ema_slope_atr,distance_from_ema_atr,volume_ratio,trigger_ts,trigger_time_utc,invalidation_ts,invalidation_time_utc,current_r,no_chase,reasons,warnings,score_components,is_recent,state_change
WLFIUSDT,4H,LONG,EMA_REJECTION,INVALIDATED,1787558400000,2026-08-24T08:00+00:00,14,50.73815591957077,D,0.0581,0.05727935600218555,0.002354243012232486,0.059300000000000005,0.056900000000000006,0.061700000000000005,0.0641,0.0665,0.0606,0.541666666666665,4.047217537942663,5738730.57526,2,0,0.05917365419112124,0.6459163263576821,1.2936836443331952,1787572800000.0,2026-08-24T12:00+00:00,1787630400000.0,2026-08-25T04:00+00:00,-0.5000000000000029,False,EMA sweep/touch closed back on the defended side; second EMA test episode,less than 1.25R to nearby structure; 1D regime conflicts,"{'valid_setup': 45.0, 'close_quality': 7.936507936507877, 'rejection_wick': 7.0, 'range': 1.2099114411516791, 'ema_slope': 0.5917365419112124, 'touch_freshness': 5.0, 'cleanliness': 6.0, 'volume_impulse': 3.0, 'structure_room': -8.0, 'mtf_alignment': -5.0}",False,NEW
ACEUSDT,1D,SHORT,EMA_ACCEPTANCE,INVALIDATED,1786233600000,2026-08-09T00:00+00:00,16,49.92550252747019,D,0.2176,0.14000843128055893,0.023490311506517446,0.10360000000000001,0.1578,0.04940000000000003,-0.004799999999999957,-0.058999999999999955,0.0824,0.3911439114391147,52.3166023166023,6395440.01191,2,2,-0.22357622211860362,-0.7325756951236853,3.531444177711214,1786492800000.0,2026-08-12T00:00+00:00,1786665600000.0,2026-08-14T00:00+00:00,-2.1033210332103325,False,decisive body displacement through the EMA; EMA slope supports direction; second EMA test episode; volume expansion,less than 1.25R to nearby structure; 4H regime conflicts,"{'valid_setup': 45.0, 'body_displacement': 6.1301869053565685, 'body_quality': 3.980955306404545, 'ema_displacement': 4.5785980945230325, 'ema_slope': 2.235762221186036, 'touch_freshness': 5.0, 'cleanliness': 3.0, 'volume_impulse': 5.0, 'structure_room': -8.0, 'mtf_alignment': -5.0}",False,NEW
EURIUSDT,1D,SHORT,EMA_REJECTION,INVALIDATED,1786492800000,2026-08-12T00:00+00:00,13,49.20507795654352,D,1.1649,1.1570626057872984,0.004548633168942324,1.1527,1.1577,1.1477000000000002,1.1427000000000003,1.1377000000000004,1.1509,0.3600000000000124,0.43376420577772995,13529163.76902,3,0,-0.05640791812630436,-0.739256313359801,14.24109768858907,1786579200000.0,2026-08-13T00:00+00:00,1786665600000.0,2026-08-14T00:00+00:00,-2.4400000000000497,False,EMA sweep/touch closed back on the defended side; volume expansion,less than 1.25R to nearby structure; 4H regime conflicts,"{'valid_setup': 45.0, 'close_quality': 7.692307692308442, 'rejection_wick': 6.381766381766541, 'range': 1.5669247012054917, 'ema_slope': 0.5640791812630436, 'touch_freshness': 2.0, 'cleanliness': 6.0, 'volume_impulse': 5.0, 'structure_room': -8.0, 'mtf_alignment': -5.0}",False,NEW
GRAMUSDT,4H,LONG,EMA_REJECTION,INVALIDATED,1787414400000,2026-08-22T16:00+00:00,24,48.8941632237079,D,1.399,1.4133699761244898,0.040787410991293696,1.461,1.408,1.5140000000000002,1.5670000000000004,1.6200000000000006,1.494,0.6226415094339589,3.6276522929500445,9061053.40076,4,1,0.14202660347680499,0.9961412820289792,1.1239144368278244,1787428800000.0,2026-08-22T20:00+00:00,1787745600000.0,2026-08-26T12:00+00:00,-1.1698113207547145,False,EMA sweep/touch closed back on the defended side; EMA slope supports direction,EMA is heavily tested; less than 1.25R to nearby structure,"{'valid_setup': 45.0, 'close_quality': 10.0, 'rejection_wick': 6.149870801033567, 'range': 2.3240263879062817, 'ema_slope': 1.4202660347680498, 'touch_freshness': -5.0, 'cleanliness': 6.0, 'volume_impulse': 3.0, 'structure_room': -8.0}",False,NEW
HEIUSDT,4H,LONG,EMA_REJECTION,INVALIDATED,1787356800000,2026-08-22T00:00+00:00,28,48.50356553476684,D,0.1535,0.13299661613542618,0.008455229257276936,0.1393,0.132,0.1466,0.1539,0.1612,0.1439,0.6301369863013688,5.24048815506102,11462895.22982,5,1,0.06144684300451655,0.6627122333497113,0.8988161486192743,,,1787371200000.0,2026-08-22T04:00+00:00,1.9452054794520532,False,EMA sweep/touch closed back on the defended side; 1D regime aligns,EMA is heavily tested; less than 1.25R to nearby structure,"{'valid_setup': 45.0, 'close_quality': 10.0, 'rejection_wick': 5.572139303482566, 'range': 1.3169578012391079, 'ema_slope': 0.6144684300451655, 'touch_freshness': -5.0, 'cleanliness': 6.0, 'structure_room': -8.0, 'mtf_alignment': 5.0}",False,NEW
PENGUUSDT,1D,SHORT,FAILED_ACCEPTANCE,INVALIDATED,1787356800000,2026-08-22T00:00+00:00,3,48.353948228093614,D,0.009316,0.00854017547509697,0.0005862368647420674,0.0074919999999999995,0.00946,0.005523999999999999,0.0035559999999999993,0.0015879999999999991,0.006473,0.5177845528455284,26.26801922050187,14798757.997421,1,2,-0.319650678493244,-0.23228746482342721,7.465492417840504,,,1787443200000.0,2026-08-23T00:00+00:00,-0.9268292682926829,False,decisive body displacement through the EMA; EMA slope supports direction; first EMA test episode; volume expansion,less than 1.25R to nearby structure; 4H regime conflicts,"{'valid_setup': 45.0, 'body_displacement': 5.856563344654094, 'body_quality': 1.849081443360659, 'ema_displacement': 1.45179665514642, 'ema_slope': 3.1965067849324402, 'touch_freshness': 8.0, 'cleanliness': 3.0, 'volume_impulse': 5.0, 'structure_room': -8.0, 'mtf_alignment': -5.0}",False,NEW
APTUSDT,4H,LONG,EMA_REJECTION,INVALIDATED,1787659200000,2026-08-25T12:00+00:00,7,46.91057547879543,D,0.564,0.5850129429257955,0.02221334516906411,0.602,0.581,0.623,0.644,0.665,0.624,1.0476190476190477,3.4883720930232593,5242180.05786,1,0,0.11356668063920748,0.494615150963656,1.0301404760088277,,,1787688000000.0,2026-08-25T20:00+00:00,-1.8095238095238095,False,EMA sweep/touch closed back on the defended side; first EMA test episode,less than 1.25R to nearby structure; 1D regime conflicts,"{'valid_setup': 45.0, 'close_quality': 4.081632653061226, 'rejection_wick': 7.0, 'range': 0.6932760193421255, 'ema_slope': 1.1356668063920747, 'touch_freshness': 8.0, 'cleanliness': 6.0, 'structure_room': -8.0, 'mtf_alignment': -5.0}",False,NEW
PROMUSDT,1D,SHORT,EMA_ACCEPTANCE,INVALIDATED,1786752000000,2026-08-15T00:00+00:00,10,46.63645988124245,D,4.168,2.4345173395367374,0.4385549063279153,1.923,2.48,1.366,0.8090000000000002,0.2520000000000002,1.643,0.502692998204668,28.96515860634425,11987251.93997,2,2,-0.05048616297487988,-0.5826347758282352,3.5548501638379078,1787011200000.0,2026-08-18T00:00+00:00,1787270400000.0,2026-08-21T00:00+00:00,-4.0305206463195695,False,decisive body displacement through the EMA; second EMA test episode; volume expansion,less than 1.25R to nearby structure; 4H regime conflicts,"{'valid_setup': 45.0, 'body_displacement': 3.6483459127091673, 'body_quality': 5.8417849898580165, 'ema_displacement': 3.64146734892647, 'ema_slope': 0.5048616297487988, 'touch_freshness': 5.0, 'cleanliness': 3.0, 'volume_impulse': 5.0, 'structure_room': -8.0, 'mtf_alignment': -5.0}",False,NEW
PYTHUSDT,1D,SHORT,EMA_REJECTION,INVALIDATED,1787529600000,2026-08-24T00:00+00:00,1,46.406601600557096,D,0.04909,0.050638398403039894,0.003462956514217147,0.048670000000000005,0.05199,0.04535000000000001,0.04203000000000001,0.038710000000000015,0.04552,0.9487951807228946,6.821450585576323,28384019.493098,1,2,-0.18526770154692632,-0.23055397887962847,112.28770968757729,,,1787616000000.0,2026-08-25T00:00+00:00,-0.1265060240963847,False,EMA sweep/touch closed back on the defended side; EMA slope supports direction; first EMA test episode; volume expansion,less than 1.25R to nearby structure; 4H regime conflicts,"{'valid_setup': 45.0, 'close_quality': 4.242424242424223, 'rejection_wick': 0.377104377104362, 'range': 1.9343959655592502, 'ema_slope': 1.852677015469263, 'touch_freshness': 8.0, 'cleanliness': 3.0, 'volume_impulse': 5.0, 'liquidity': 2.0, 'structure_room': -8.0, 'mtf_alignment': -5.0}",True,NEW
TUTUSDT,4H,LONG,EMA_REJECTION,INVALIDATED,1787356800000,2026-08-22T00:00+00:00,28,46.38974511284212,D,0.04958,0.039544542026819625,0.004609603820127648,0.04265,0.03907,0.04623,0.04981,0.05339,0.04525,0.726256983240223,8.39390386869871,28582153.75345,5,1,-0.053114402855838974,0.5023117091039414,1.0119056449889148,,,1787371200000.0,2026-08-22T04:00+00:00,1.9357541899441337,False,EMA sweep/touch closed back on the defended side; 1D regime aligns,EMA slope opposes the setup; EMA is heavily tested; less than 1.25R to nearby structure,"{'valid_setup': 45.0, 'close_quality': 7.002801120448218, 'rejection_wick': 6.201888162672505, 'range': 0.8224286639914644, 'ema_slope': -0.6373728342700677, 'touch_freshness': -5.0, 'cleanliness': 6.0, 'liquidity': 2.0, 'structure_room': -8.0, 'mtf_alignment': 5.0}",False,NEW
